client_infomation,description,duration,experience_level,job_type,rate,title,score
"Member since Sep 8, 2024 GBR Plymouth 7:11 PM $241 total spent 4 hires, 4 active 23 hours Sales & Marketing Small company (2-9 people)","We are seeking a skilled Go High Level Automation Specialist to deal with
issues that our clients come across with automations. We are a fast-growing
marketing agency based in the UK. We work with the Appointwise platform to
integrate their Ai bots into our GHL campaigns, your job would be to deal with
any issues that occur in automations and be responsive to our UK based clients
when they encounter issues.  
  
Well-spoken English is a must. As well as experience with the Go High Level
platform and if you have any experience with ai that's even better.  
  
This will be a part-time role, that can develop into more areas and more
earning potential.",1-3 months,Intermediate,Hourly,$3.00-$10.00,Part-Time Go High Level Automation Specialist,3
"Member since Jul 18, 2006 | Canada | Bampton 3:12 PM | $7.3K total spent | 29 hires, 0 active | 15 hours | Tech & IT | Individual client","We have 4 landing pages sales copy content that needs to be reviewed, rewriting (If need be) and majorly updated:

• About Us;

• Law Firms;

• Real Estate;

• Heating/Air Condition;

• 4 CTAs for each page that has a title and tag line.  


LANDING PAGE OVERALL SECTIONS/STRUCTURE:

Here is an snapshot of the overall sections and structure of the landing pages for the most part. The About Us Landing Page is structed with additional sections.  

• Why do you need SEO;

• SEO Benefits;

• SEO Process:  

• Why Apex Edge SEO.  

If other sections need to be added please lust us know and why.  


LANDING PAGE CONTENT:

Review, rewrite (if need),  majorly update each landing page to make sure each lading page and CTAs have the following important content elements.  This includes Titles, Sub-Titles, Tags, and Body:  

• Create a sense of urgency and fear of missing out (FOMO) regarding potential clients need our services to solve their problem;  

• Simple and concise but engaging;  

• No jargon, fluff, over the top hype and/or promises;  

• Solving a problem and providing a solution;  

• Write from the “You, Your” perspective (Make it personalized for B2B clients);  

• Emphasize important words that matter;  

• Create 4 CTAs for each landing page: (i)Hero Section CTA; (ii) 2-Booking Appointments; (iii) Other. (Note: Each CTA has title and tag line.  Tag line about 1 sentence long).  ","Oct 25, 2024",Intermediate,Fixed,300.00,Seeking rockstar SEO Content Writer for landing pages for conversions AND SEO compliance,2
,We are seeking a skilled researcher to explore and evaluate AI tools specifically tailored for software development: Research Gen AI To…,Posted,Intermediate,Fixed,100,AI Tools Research for Software Development,8
"Member since Feb 4, 2023 | United States | Ny 2:12 PM | $5.9K total spent | 19 hires, 9 active | 47 hours","I am looking for a professional who is an expert in verifying credit reports and landlord information. The task involves verifying credit details and ensuring the accuracy of landlord-related data.  
  
We are specifically looking for someone who has experience using advanced methods, such as AI tools or hacking techniques, for secure and efficient verification.  
  
If you are skilled in this area and can handle these verifications professionally and legally, please get in touch.  
  
Note: We require someone who is proficient in this field and follows legal and ethical practices.  
  
Looking forward to your applications.", < 1 month ,Expert,Hourly,,Credit Report and Landlord Verification Expert (Hacker or AI Tool Expert Preferred),5
"Member since Jun 19, 2013 | India | Delhi 11:42 PM | $6.6K total spent | 11 hires, 5 active | 100 hours | Health & Fitness | Small company (2-9 people)","We are seeking an experienced AI Developer to design and implement a Hindi and
English AI-powered Voice Agent that interacts with users. The AI Voice Agent’s
primary role will be to promptly assess the nature of the request —
distinguishing between a real emergency, service request, etc — and respond in
natural language accordingly. This role requires expertise in NLP, voice
recognition, real-time decision-making, and an understanding of emergency
response protocols.  
  
Responsibilities:  
AI Voice Agent Design and Development  
Develop and deploy a responsive AI Voice Agent that initiates a call-back when
a DrRing device user presses the alert button.  
Implement language processing capabilities to enable natural, human-like
conversations in multiple major Indian languages.  
Enable the AI to dynamically switch languages based on user preferences.  
  
Testing and Validation  
Conduct testing to ensure accuracy in understanding and handling all call
scenarios.  
Perform language and accent adaptability tests to optimize the AI’s
effectiveness in different Indian languages and dialects.  
Continuous Learning and Improvement  
Implement self-learning mechanisms to improve the AI's response based on
previous interactions.  
Set up feedback loops to refine call handling and response for improved
accuracy and user experience.  
  
Qualifications:  
Proven experience in building and deploying conversational AI or voice agents,
preferably in emergency response or customer service settings.  
Proficiency in Natural Language Processing (NLP), Natural Language
Understanding (NLU), and multilingual voice recognition.  
Strong understanding of machine learning algorithms, intent recognition, and
decision-making processes.  
  
The final budget is not a constraint.",Ongoing project,Expert,Fixed,600.00,AI Voice Agent Developer,9
"Member since Jan 26, 2024 | United Kingdom | Paisley 7:13 PM | $1.3K total spent | 12 hires, 2 active | 41 hours | Tech & IT | Individual client","GroAI is seeking a skilled Relevance AI Developer for a long-term role, with the potential for full-time employment as a Principal AI Agent Developer. This role entails full autonomy and expertise in Relevance AI, focusing on developing, deploying, and maintaining AI agent tools and multi-agent workflows to create scalable systems for GroAI’s clients.  
  
Key Responsibilities:  
  
AI Agent Development:  
  
Design, develop, and deploy AI agents tailored to client needs using Relevance AI.  
Continuously improve agent capabilities and adapt them to evolving client requirements.  
Automation Systems and Workflow Construction:  
  
Construct, maintain, and optimize multi-agent workflows for automation, integrating complex tasks and inter-agent communications to streamline client processes.  
Ensure workflows are robust, scalable, and aligned with GroAI’s operational standards.  
Project Management & Reporting:  
  
Provide regular project updates, flagging any challenges and proposing solutions to maintain project timelines.  
Conduct thorough testing, maintenance, and troubleshooting to ensure consistent, high-quality deliverables.  
Technical Support and Maintenance:  
  
Offer ongoing support and technical assistance for deployed agents and systems, including updates, bug fixes, and performance improvements.  
Collaborate closely with GroAI’s team to address any client-related technical issues.  
Confidentiality and GDPR Compliance:  
  
Adhere strictly to confidentiality and data protection standards, including GDPR requirements for any data involving EU or UK citizens.  
Implement secure processes for handling sensitive client data and ensure compliance with all relevant data protection policies.  
Review and Full-Time Employment Consideration:  
  
Participate in a formal review after the first three months to assess potential for full-time employment as Principal AI Agent Developer, subject to mutual agreement and business needs.  
Qualifications:  
  
Proven experience with Relevance AI, particularly in developing and deploying AI agents and multi-agent systems.  
Strong understanding of AI-driven automation, workflow optimization, and multi-agent communication.  
Ability to work independently, manage time effectively, and deliver high- quality results within a flexible 10-hour work week.  
Familiarity with data protection laws, including GDPR, and secure handling of client data.  
  
Compensation: $15-25 per hour.  
  
Contract Type: Independent Contractor, subject to confidentiality and non- compete agreements as outlined by GroAI.",3-6 months,Expert,Hourly,$15.00-$25.00,Relevance AI Agent Developer,9
"Member since Jun 16, 2011 | Saudi Arabia | Jeddah 9:13 PM | $33K total spent | 395 hires, 2 active | 554 hours | Individual client","I need to program a specific mechanism that uses generative artificial intelligence (I have a paid subscription to chatGPT) and I can subscribe to any other service.  
  
I am required to fill out these forms for each of the courses that we establish in the training center. I am looking for someone who combines programming with curricula, so that he can create a wizard that includes the appropriate questions he needs to then fill out the various attached forms in full for each of the training courses that we want to fill out the data related to. Then he creates another copy of the same document automatically and in Arabic.  
  
The following 7 forms are required to be filled out. Study them and show me your knowledge regarding them.  
  
This task is repetitive, so you will create the necessary wizard that will result in filling out the form based on the system asking about the questions it needs to fill out the forms in full. The filling must be done directly in the Word file.", < 1 month ,Expert,Hourly,,AI for education and training,4
"Member since Jan 7, 2014 | Switzerland | Sion 8:13 PM | $28K total spent | 82 hires, 21 active | 927 hours | Art & Design | Individual client","We are looking for a skilled web developer to build an e-commerce website for
our photo restoration service. The attached PDF contains a detailed brief
outlining the project requirements. Please read it carefully before applying.  
  
To apply, please provide the following:  
  
A precise estimate of the number of hours required to complete the project.  
Your hourly rate and/or total project fee.  
A clear breakdown of what is included in your offer (e.g., development,
testing, initial setup, revisions).  
A detailed timeline for completion.  
Information on the tools and CMS you plan to use for the project (e.g.,
WordPress, Shopify, custom solution).  
Any questions or concerns you may have about the project based on the brief.  
Important: Only complete applications addressing all the above points will be
considered. Incomplete responses will not be reviewed.",4 hours ago,Expert,Fixed,199.00,Full Stack Developer - Website photo restoration services,2
"Member since Mar 29, 2017 | United States | New York City 2:13 PM | $32K total spent | 40 hires, 7 active | 638 hours","Need a skilled AI Developer to build intelligent, autonomous AI agents
designed to:  

1. Create niche video content.  
2. Upload videos directly to our app.  
3. Engage with the platform by liking, commenting, and following other
accounts.  
4. Mint NFT Keys and handle other in-app functions  

AI agents that perform a range of actions, from video content generation to
social interactions, replicating human-like engagement behaviors to make our
app vibrant and user-driven.  

Responsibilities:  

• Develop and implement AI agents that can autonomously generate video content
tailored to specific niches.  
• Program AI agents to upload content to the mobile app in a way that
optimizes visibility and engagement.  
• Enable agents to like, comment, and follow other accounts to foster organic
community growth.  
• Integrate NFT minting capabilities for AI agents to mint keys as they upload
content, with smooth interactions with our blockchain infrastructure.  
• Ensure all AI actions comply with app guidelines and community standards.  
• Optimize agents for low-latency, real-time interactions within the app.  

Requirements:  

• 3+ years of experience in AI/ML development, with a focus on creating
autonomous agents.  
• Proficiency in Python, TensorFlow, PyTorch, or other ML frameworks.  
• Experience in video generation using AI tools, GANs, or similar methods.  
• Knowledge of social media algorithms and engagement metrics.  
• Familiarity with blockchain and NFT technologies; experience with NFT
minting is a strong plus.  
• API integration skills to enable seamless app interactions.  
• Strong problem-solving skills and an eye for detail.  
• Ability to work independently and meet deadlines in a fast-paced
environment.  

Preferred Qualifications:  

• Experience with reinforcement learning and behavior modeling for simulating
human interactions.  
• Familiarity with video content niches such as tutorials, travel, or
lifestyle content.  
• Understanding of content moderation principles to ensure AI agents’ actions
are within community standards.",3-6 months,Expert,Hourly,$25.00-$50.00,AI Developer for Content-Creation and Engagement Agents For Social media app,8
"Member since Sep 21, 2021 Cyprus Limassol 9:14 PM $3.1K total spent 10 hires, 1 active 27 hours Sales & Marketing Small company (2-9 people)","We are seeking an experienced developer to integrate our Synthflow AI system
with Twilio. The project includes setting up Twilio to route domestic calls
from each country and ensuring A2P 10DLC verification is achieved.
Additionally, we need to connect our Hubspot CRM with Synthflow AI to
streamline our operations. The ideal candidate will have a strong background
in API integrations and telecommunication systems, ensuring seamless
functionality between platforms.  
  
Update: Missing automation workflow for Hubspot CRM to update lead status and
proper excel import:  
  
This flow is ok.  
When a lead changed back to 'New' it will get a call again, just like a new
lead in hubspot.  
  
If there is a scheduled call, it will create an event on cal.com and will
change lead status to 'Call Back' on Hubspot and the AI Agent will stop
calling this lead.  
  
If the lead didn't answer or reached Voicemail, it will keep trying to call
the lead up to 5 times a day, according to the local hours defined.  
  
Changing the lead status according to the call outcome. Documenting call in
the hubspot CRM.",Ongoing project,Intermediate,Fixed,400.00,Synchronize Synthflow with Hubspot and Twilio,6
